,,,2021_05_25,2021_06_09,2021_06_23,2021_07_08,2021_07_19,2021_05_25,2021_06_09,2021_06_23,2021_07_08,2021_07_19,2021_05_25,2021_06_09,2021_06_23,2021_07_08,2021_07_19,2021_05_25,2021_06_09,2021_06_23,2021_07_08,2021_07_19,2021_05_25,2021_06_09,2021_06_23,2021_07_08,2021_07_19,2021_05_25,2021_06_09,2021_06_23,2021_07_08,2021_07_19,2021_05_25,2021_06_09,2021_06_23,2021_07_08,2021_07_19,2021_05_25,2021_06_09,2021_06_23,2021_07_08,2021_07_19
Treatment_no.,Rep,Factors,NDRE,NDRE,NDRE,NDRE,NDRE,NDVI,NDVI,NDVI,NDVI,NDVI,DIST,DIST,DIST,DIST,DIST,LAI_VI,LAI_VI,LAI_VI,LAI_VI,LAI_VI,CCC_VI,CCC_VI,CCC_VI,CCC_VI,CCC_VI,RE,RE,RE,RE,RE,NIR,NIR,NIR,NIR,NIR,R,R,R,R,R
T11,R2,V2N4,0.094063744,0.1322158,0.31607097,0.20119105,0.18161932,0.15453497,0.24079734,0.8476518,0.74845713,0.576635,42.520702,58.01521,45.14627,39.949627,44.91692,2.8683372,2.4850788,1.16629,1.2932675,1.5652457,0.105599985,0.22747366,1.7801288,0.6844821,0.5080878,21.228832,21.075184,22.129272,26.35377,24.427664,25.631662,27.578363,42.573982,39.597897,35.302883,18.770128,16.870157,3.5027254,5.6878214,9.472543
T12,R2,V2N5,0.09057692,0.12573045,0.2362415,0.23707113,0.21174754,0.14857116,0.24637397,0.628151,0.7706789,0.5959738,40.249367,68.382385,57.64404,46.629387,47.93104,2.9081535,2.512478,1.4931321,1.2622308,1.5408523,0.098500006,0.22426087,0.9242452,0.94844234,0.70881975,21.264614,21.404785,22.520042,24.825123,23.233967,25.49805,27.715868,36.639324,40.19179,35.776665,18.901344,16.74739,8.33785,5.1983266,9.046605
T1,R3,V1N0,0.097312324,0.12132307,0.23792428,0.19135916,0.14458267,0.15407673,0.16576153,0.658147,0.65644497,0.4065173,44.74695,52.69854,57.563835,32.82651,47.447247,2.8732872,2.8101537,1.4241972,1.428041,1.9218462,0.1111096,0.16430768,0.88828796,0.624347,0.28690392,21.078405,20.277617,22.92084,25.286432,23.401018,25.621483,25.884382,37.269806,37.250107,31.336657,18.780172,18.52254,7.6769996,7.7143884,13.219615
T2,R3,V1N1,0.081414126,0.06647333,0.25665525,0.16711625,0.17478676,0.16240437,0.13563779,0.8120419,0.76188385,0.64502335,43.388,44.33758,46.21761,43.10796,51.74125,2.8193696,2.9994223,1.211552,1.2741252,1.4694556,0.0856087,0.06064444,1.128567,0.4909001,0.49741185,21.929653,22.065485,24.521372,28.516104,25.949116,25.808378,25.207869,41.48012,39.948277,36.991688,18.596664,19.186287,4.2870145,5.3920755,7.9659405
T3,R3,V1N2,0.09051111,0.10660668,0.3311406,0.186303,0.13999014,0.16612591,0.15059999,0.8235125,0.7274546,0.5078459,40.270218,48.70653,45.412582,50.143417,56.92263,2.8021662,2.9170668,1.198922,1.3282273,1.702836,0.10074074,0.13113333,1.9984375,0.58987874,0.30129507,21.596907,20.6128,21.03462,26.804535,25.406967,25.892134,25.543867,41.89215,39.10344,33.711014,18.514706,18.856798,4.034578,6.1503787,10.987672
T4,R3,V1N3,0.07255121,0.095706254,0.28819016,0.1737286,0.12939124,0.16555367,0.16163126,0.72956675,0.5102964,0.33834562,48.067707,51.283062,55.640656,46.769413,51.081795,2.825634,2.8415627,1.3261373,1.7219819,2.1474562,0.074902445,0.11281251,1.4434117,0.4491429,0.23256142,22.424294,21.285563,21.596802,23.737745,22.92997,25.879972,25.791378,39.18226,33.803593,29.79335,18.52712,18.61375,6.1038823,10.933803,14.721123
T5,R3,V1N4,0.09135945,0.1337846,0.29758888,0.233275,0.19315615,0.16329731,0.22827505,0.74524003,0.67097086,0.5451773,43.64448,51.934433,51.03413,45.215252,40.815857,2.8145943,2.58375,1.3106664,1.412375,1.6583687,0.10191891,0.24623077,1.5639335,0.90412503,0.5849123,21.508327,20.757942,21.399605,23.378082,23.27863,25.82827,27.301456,39.681084,37.637333,34.609665,18.577215,17.14571,5.758622,7.3942914,10.165507
T6,R3,V1N5,0.08712381,0.10507694,0.21374504,0.12206705,0.13228595,0.16141665,0.1407359,0.54776317,0.35781175,0.37154558,43.070835,54.083057,54.242817,85.8582,51.783405,2.8253574,2.978641,1.6774503,2.1774473,2.1536667,0.09423807,0.12515384,0.77591664,0.24909413,0.2783509,21.657406,20.500462,22.291195,23.728401,23.262558,25.786118,25.322538,34.760902,30.259346,30.609594,18.618525,19.074003,10.10845,14.292398,13.989967
T7,R3,V2N0,0.097312324,0.12132307,0.23792428,0.19135916,0.14458267,0.15407673,0.16576153,0.658147,0.65644497,0.4065173,44.74695,52.69854,57.563835,32.82651,47.447247,2.8732872,2.8101537,1.4241972,1.428041,1.9218462,0.1111096,0.16430768,0.88828796,0.624347,0.28690392,21.078405,20.277617,22.92084,25.286432,23.401018,25.621483,25.884382,37.269806,37.250107,31.336657,18.780172,18.52254,7.6769996,7.7143884,13.219615
T8,R3,V2N1,0.09534278,0.09459668,0.25703225,0.17628573,0.13511403,0.15613082,0.12938334,0.69029176,0.6010674,0.3445912,51.305748,51.785564,48.450493,33.938717,47.75646,2.858354,3.0488,1.3836616,1.5379388,2.1076841,0.107701465,0.103099994,1.0767583,0.56193876,0.2459474,21.200201,20.735071,22.513111,25.16139,22.76309,25.667534,25.067736,38.178383,35.98194,29.928604,18.734919,19.323866,6.969194,8.934061,14.58363
