,,,2021_05_25,,,,,,,,,2021_06_09,,,,,,,,,2021_06_23,,,,,,,,,2021_07_08,,,,,,,,,2021_07_19,,,,,,,,,,,,
,,,NDRE,NDVI,DIST,LAI_VI,CCC_VI,RE,NIR,R,,NDRE,NDVI,DIST,LAI_VI,CCC_VI,RE,NIR,R,,NDRE,NDVI,DIST,LAI_VI,CCC_VI,RE,NIR,R,,NDRE,NDVI,DIST,LAI_VI,CCC_VI,RE,NIR,R,,NDRE,NDVI,DIST,LAI_VI,CCC_VI,RE,NIR,R,,,,,
T11,R2,V2N4,0.094063744,0.15453497,42.520702,2.8683372,0.105599985,21.228832,25.631662,18.770128,,0.1322158,0.24079734,58.01521,2.4850788,0.22747366,21.075184,27.578363,16.870157,,0.31607097,0.8476518,45.14627,1.16629,1.7801288,22.129272,42.573982,3.5027254,,0.20119105,0.74845713,39.949627,1.2932675,0.6844821,26.35377,39.597897,5.6878214,,0.18161932,0.576635,44.91692,1.5652457,0.5080878,24.427664,35.302883,9.472543,,,,,
T12,R2,V2N5,0.09057692,0.14857116,40.249367,2.9081535,0.098500006,21.264614,25.49805,18.901344,,0.12573045,0.24637397,68.382385,2.512478,0.22426087,21.404785,27.715868,16.74739,,0.2362415,0.628151,57.64404,1.4931321,0.9242452,22.520042,36.639324,8.33785,,0.23707113,0.7706789,46.629387,1.2622308,0.94844234,24.825123,40.19179,5.1983266,,0.21174754,0.5959738,47.93104,1.5408523,0.70881975,23.233967,35.776665,9.046605,,,,,
T1,R3,V1N0,0.097312324,0.15407673,44.74695,2.8732872,0.1111096,21.078405,25.621483,18.780172,,0.12132307,0.16576153,52.69854,2.8101537,0.16430768,20.277617,25.884382,18.52254,,0.23792428,0.658147,57.563835,1.4241972,0.88828796,22.92084,37.269806,7.6769996,,0.19135916,0.65644497,32.82651,1.428041,0.624347,25.286432,37.250107,7.7143884,,0.14458267,0.4065173,47.447247,1.9218462,0.28690392,23.401018,31.336657,13.219615,,,,,
T2,R3,V1N1,0.081414126,0.16240437,43.388,2.8193696,0.0856087,21.929653,25.808378,18.596664,,0.06647333,0.13563779,44.33758,2.9994223,0.06064444,22.065485,25.207869,19.186287,,0.25665525,0.8120419,46.21761,1.211552,1.128567,24.521372,41.48012,4.2870145,,0.16711625,0.76188385,43.10796,1.2741252,0.4909001,28.516104,39.948277,5.3920755,,0.17478676,0.64502335,51.74125,1.4694556,0.49741185,25.949116,36.991688,7.9659405,,,,,
T3,R3,V1N2,0.09051111,0.16612591,40.270218,2.8021662,0.10074074,21.596907,25.892134,18.514706,,0.10660668,0.15059999,48.70653,2.9170668,0.13113333,20.6128,25.543867,18.856798,,0.3311406,0.8235125,45.412582,1.198922,1.9984375,21.03462,41.89215,4.034578,,0.186303,0.7274546,50.143417,1.3282273,0.58987874,26.804535,39.10344,6.1503787,,0.13999014,0.5078459,56.92263,1.702836,0.30129507,25.406967,33.711014,10.987672,,,,,
T4,R3,V1N3,0.07255121,0.16555367,48.067707,2.825634,0.074902445,22.424294,25.879972,18.52712,,0.095706254,0.16163126,51.283062,2.8415627,0.11281251,21.285563,25.791378,18.61375,,0.28819016,0.72956675,55.640656,1.3261373,1.4434117,21.596802,39.18226,6.1038823,,0.1737286,0.5102964,46.769413,1.7219819,0.4491429,23.737745,33.803593,10.933803,,0.12939124,0.33834562,51.081795,2.1474562,0.23256142,22.92997,29.79335,14.721123,,,,,
T5,R3,V1N4,0.09135945,0.16329731,43.64448,2.8145943,0.10191891,21.508327,25.82827,18.577215,,0.1337846,0.22827505,51.934433,2.58375,0.24623077,20.757942,27.301456,17.14571,,0.29758888,0.74524003,51.03413,1.3106664,1.5639335,21.399605,39.681084,5.758622,,0.233275,0.67097086,45.215252,1.412375,0.90412503,23.378082,37.637333,7.3942914,,0.19315615,0.5451773,40.815857,1.6583687,0.5849123,23.27863,34.609665,10.165507,,,,,
T6,R3,V1N5,0.08712381,0.16141665,43.070835,2.8253574,0.09423807,21.657406,25.786118,18.618525,,0.10507694,0.1407359,54.083057,2.978641,0.12515384,20.500462,25.322538,19.074003,,0.21374504,0.54776317,54.242817,1.6774503,0.77591664,22.291195,34.760902,10.10845,,0.12206705,0.35781175,85.8582,2.1774473,0.24909413,23.728401,30.259346,14.292398,,0.13228595,0.37154558,51.783405,2.1536667,0.2783509,23.262558,30.609594,13.989967,,,,,
T7,R3,V2N0,0.097312324,0.15407673,44.74695,2.8732872,0.1111096,21.078405,25.621483,18.780172,,0.12132307,0.16576153,52.69854,2.8101537,0.16430768,20.277617,25.884382,18.52254,,0.23792428,0.658147,57.563835,1.4241972,0.88828796,22.92084,37.269806,7.6769996,,0.19135916,0.65644497,32.82651,1.428041,0.624347,25.286432,37.250107,7.7143884,,0.14458267,0.4065173,47.447247,1.9218462,0.28690392,23.401018,31.336657,13.219615,,,,,
T8,R3,V2N1,0.09534278,0.15613082,51.305748,2.858354,0.107701465,21.200201,25.667534,18.734919,,0.09459668,0.12938334,51.785564,3.0488,0.103099994,20.735071,25.067736,19.323866,,0.25703225,0.69029176,48.450493,1.3836616,1.0767583,22.513111,38.178383,6.969194,,0.17628573,0.6010674,33.938717,1.5379388,0.56193876,25.16139,35.98194,8.934061,,0.13511403,0.3445912,47.75646,2.1076841,0.2459474,22.76309,29.928604,14.58363,,,,,
T9,R3,V2N2,0.08582553,0.16315743,49.342102,2.8241494,0.0958298,21.742939,25.825806,18.580107,,0.106121436,0.19282143,46.39371,2.6577144,0.13714287,21.401857,26.491787,17.927,,0.21960168,0.5435086,54.110676,1.6460339,0.7588135,22.003153,34.559017,10.20217,,0.15021285,0.528659,30.664686,1.6687946,0.35051283,25.21885,34.188206,10.529436,,0.11408184,0.26520544,46.512726,2.3539453,0.16790907,22.344673,28.124872,16.332167,,,,,
T10,R3,V2N3,0.07255121,0.16555367,48.067707,2.825634,0.074902445,22.424294,25.879972,18.52712,,0.095706254,0.16163126,51.283062,2.8415627,0.11281251,21.285563,25.791378,18.61375,,0.28819016,0.72956675,55.640656,1.3261373,1.4434117,21.596802,39.18226,6.1038823,,0.1737286,0.5102964,46.769413,1.7219819,0.4491429,23.737745,33.803593,10.933803,,0.12939124,0.33834562,51.081795,2.1474562,0.23256142,22.92997,29.79335,14.721123,,,,,
